上联,下联
春到人间，虎虎添生气,日暄赤县，熊熊炳壮姿
薄,深
此夜无风月,新词纵海潮
浊酒三杯思故祖,清香一把悼亡魂
风云采色染夏月,冷暖变幻困秋虫
许烟霞四季相随，今秋早到,邀松鹤不时与乐，明月初升
碧水悠悠，帆影悠悠，两岸柳风栓不住,清湖荡荡，歌声荡荡，一塘莲叶晃难安
夫妻和睦同偕老,伴侣温柔共白头
外星塔垂虹，抱犊寨驮梁，营造休闲胜境,赵州桥捧砚，太行山纵笔，写成建筑奇观
天王显圣，风调雨顺,弥勒无忧，国泰民安
藏龙于水中，一朝崛起惊天下,引凤兴良口，百业腾飞富庶民
宝号堂堂，诚信经营人共赞,威名鼎鼎，热情接待众同夸
臻上善以无尤，白水犹传先哲道,出淤泥而不染，清莲合冠盛时花
栽花竹，养禽鱼，自是山林经济,乐琴书，耽岁月，可称烟火神仙
短杖补篱，扶得一枝春稳,长风破雾，送来万里月明
一年蓬拥二苞玉竹，隐三叉苦,七月菊绽八角金盘，飘九里香
风言风语风凉话,儒帽儒服儒雅人
拾阶步住，阔首数十观星宿，穹眺函关，东升紫气云远路,跨海翼止，举目几何看苍山？傲眼穷途，西坠红霞月近心
金狮耀地，春光一派随处好,峰柱擎天，瑞气九霄及时来
江水清兮，鱼翔福地,岛风醇矣，民乐尧天
观神九凌霄，蛟龙探海，遍插旌旗迎盛会,盼群贤议政，良策出台，广殷黎庶度康年
世难拘文曲一仙，辞之归之，十载竟教微宦累,君喜看性灵万物，师者游者，千山皆作美人收
若使花长在,须期月再圆
观世观尘观书，观趋历史坎坷,看沙看雨看雾，看尽人生朦胧
柳枝飞絮--谢雪,草叶熏风--探春
鼓声鸣海上,僧语在云中
资我豪情，小酌春风，丰年骏马小康路,兴其特色，大书民意，妙笔新笺大业诗
连理枝头花并蒂,合欢枕上眼齐眉
紧十分到头难解,退一步前程愈宽
帆如秋叶来天上,人似春蚕卧茧中
述志穷万里,纪功刊泰山
毁言日至，厚礼缺安排，訾出千人语,褒奖时来，丰功归掌握，赐封万户侯
伯夷叔齐，不念旧恶,宰我子贡，善为说辞
古韵数名荷，荡一说波澜，高咏胸间留正气,廉风襄惠政，喜三江锦绣，每临镜畔有余思
芜尔,吉他
芙蓉菡萏莲荷，是一花，非六草,佗佛阿弥和尚，盘三座，敬九香
日丽风和，水碧山青，迎五环健将,果甜瓜脆，茶香酒美，宴四海嘉宾
昼永琐窗闲，竹边棋墅,日迟帘幕静，花外琴心
迎宾招手情非浅,送客躬身礼更周
雨溅青荷千帆舞,墨洒白绢一笔飞
南国绽奇葩，伴山水烟霞，再添一脉人文气,中华多瑰宝，供吟哦酬唱，共醉四时烂漫春
瓦工干活，难免拖泥带水,道士欺生，如何返璞归真
夜泊秦淮，尽赏十里灯影,烟笼寒水，幽听一河桨声
红杏出墙约会柳,青丝入目把握春
风月无边，演啼笑姻缘红楼梦,前尘有度，定佳偶天成今世情
长城不复秦时梦,明月已圆汉室天
英雄末路一篙水,壮士前途万里天
浩明月，诚实光揽客,精品楼，优质靓招商
排闼聆泉，月挂竹梢堪照影,息心弄笔，云生眼底可镶诗
颦妹心中，良师华发青春葆,纬哥门下，黉馆白云岁月悠
因知好句胜金玉,欲拨瑶琴弹凤凰
突发天灾惊宇内,长留大爱暖人间
白马堂、忠义堂，孙支挺秀,扶风郡、高阳郡，祖德流芳
楹协描绘齐心画,联苑包容故土情
皮袍容小我,衣袖拂高天
细雨偷香花落泪,清风好色柳柔身
进这一重门，何曾见曲直是非？必无负汝,奉将三尺法，但愿尔友恭慈孝，好自为人
八斗文才三甲第,五车学富状元郎
生计如诗多险韵,我心似竹淡虚名
朵朵莲花开雪岭,支支乐曲颂神州
黄钟大吕声威壮,赤县神州气象新
喜多财气旺,城小烟火浓
绿野清风飘柳絮,珠灯明月照容颜
惟爱人间风月好,不思宫阙梦天长
诗以史名怀杜甫,笔经人索念江淹
高手如林，分清长短扬优势,坚心似铁，举起杠铃登顶峰
点点银帆，迎万国衣冠，此处堪称商贸地,滔滔白浪，送三春锦绣，谁人不爱母亲河
料峭秋风吹梦醒,柔和春雨伴人眠
青海湖边鸟上路,垫江狱里口中人
嘉峪关前夕雾收,布隆吉后晓星浮
张灯结彩繁荣景,笑口飞歌和睦家
立德立言立志立行，赶日拿云，鹏程溢彩七旬路,倾情倾爱倾心倾力，培桃育李，化雨无声一校春
观海胸襟阔,披巾马羊毛
金无足赤都知道,木已漆黑尽惘然
仁爱真诚，家随国美,平安喜乐，人共年新
篱边斑竹千枝翠,雪里梅花一点红
港台澳，同庆新春佳节,中国梦，共呼民族复兴
慕南皮胜游，朱李甘瓜，愿十日平原住,忆西湖好景，风裳水佩，作三潭印月观
身在群山上,心飞圣地中
何妨笔砚资真性,羞把诗书问故人
百行孝为先，至性感人余热泪,大江流不尽，夕阳终古咽寒涛
素车苍鹿驾,金勒紫骝衔
乡音常入三更梦,国事难容二月流
铁肩妙手，缀玉联珠，文华灿映三门日,党舌民声，扬清激浊，版面新来九曲风
怨痴心总痴心，多情葬我有山水,说撒手难撒手，执意牵魂是故乡
拄笏西山，看白鹤冲天，闲云出岫,泛舟北海，令黄龙伏地，激水平滩
蝶泳花溪谷,虾游水墨宣
石佛寺,金王坟
兑酒相思红豆味,养神细品绿茶香
秋风惊落叶,暮雨浥飞花
但持活泼泼心，乃是洒脱脱汉,学到冷湫湫地，允为热烈烈人
灵羊献瑞迎春梦，翠屏春满,古镇丰年抱福人，岷水福多
崇尚中山古城文化,弘扬定州时代新风
诺贝尔蒙羞，奥巴马获和平奖,好莱坞出彩，史泰龙成革命人
一粒粟中藏世界,半升铛内煮山川
依旧幽香，依旧无争，风起处，亭前初见,平常花色，平常一落，燕回时，雪上轻寻
山妩媚，水妖娆，骋目八方，天开画卷烟霞映,凤嘤鸣，龙吟啸，倾心四海，客答诗声意兴飞
让字三分宽自己,真心一味待他人
夜雨敲窗声切切,晨风吹柳影柔柔
纸上谈兵，对对屏前书曲赋,月下煮酒，杯杯盏后展情怀
鱼戏湖中月,雁鸣塞上秋
他乡多倦客,本土皆忙人
忆昨路绕锦亭东,先主武侯同閟宫
庾岭繁枝遮阁漪,雪里开花散郁香
倭人屡犯，禄蠹苟安，虽我草民宁不怒,报国无门，呼声载道，因之树帜恐将亡
有黑石流泉，六堡烹茶邀客醉,看苍梧起凤，三春逐梦伴霞飞
白露薤露陆无露，路路漏秋色,小寒大寒天不寒，田田含春机
十万民工绣山川，韶灌凤来仪，天上人间，芙蓉夜月，银河双漾,九旬党庆怀恩泽，潇湘龙起舞，畴丰野秀，杨柳春风，画境频开
几回播种，十月孕胎，任汗水横流，换来文曲盈怀抱,今日高哥，明天太子，若昆仑并立，留得风华满帝都
让机制流金，转行造势，八区联动圆夙梦,把目标瞄准，开放搞活，众手绘织美河东
生命本恒河沙数，半堆尘芥,交心乃永夜星光，遥祝康宁
雁声芦叶老,刁斗戍楼寒
春风春雨育春花，春满大地,喜水喜山织喜景，喜盈神州
春秋既成，难增减一字,阴阳刻定，悉参订五经
尽三壶浊酒，品几许枫红，闲枕秋山，笑听淡淡轻风舒暖韵,伫五岳雄关，行一川柳绿，黄粱卸甲，谁使幽幽春梦伴飞烟
因人而热,遂我所求
水云流转，高山顶上存仙界,岩石嶙峋，大树国中有佛缘
光阴似箭，伤心我是惊弓鸟,岁月如流，快意身成不系舟
司马溯其名，厚重人文汉光武,卧龙盘是地，辉煌事业冀一村
水底难藏天上月,枕头长吹耳边风
句中苦涩谁尝尽,画外相思月叙来
我自无求人莫问,身如可寄不需归
积累正能量，和谐中国宏图展,抒发真性情，美丽晋城幸福来
袅娜,玲珑
肝肺槎枒生竹石,飘落高下随风花
人生自古谁无死,第一功名不爱钱
昆仑修果，静坐烟霞，超凡脱俗获真谛,道教掌门，书疏可汗，施善释奴彰懿德
人到盖棺，方堪定论,我将碎琴，以报知音
教无定法崇新意,医刮钱财泯爱心
元兴世盛山河壮,生彩盈辉日月新
三恶皆消，禅缘早悟心无量,五观为要，善念多存饭有恩
心底无私公正在,脑瓜开洞见解高
天净沙尘远,玉连环境清
人添福寿年添岁,鱼满池塘果满林
逸士骚人弘国粹,鹤龄松寿祝王君
玉兔钟灵，霞色尽描红宇宙,金鸡唱晓，阳光四射亮乾坤
对八百里烟霞，秋水长天皆佛国,拥卅六湾风月，芙蓉香草尽如来
浓妆山鬓绿，浅凝水袖青，有情春色撩人醉,遥剪故乡云，同看天涯月，无恙梅花待客归
法雨洗苔留佛印,龙龛蜕骨化禅枝
一夜西风吹瘦柳,两行雁字唱斜阳
暴吏,良民
王业凭礼乐，霸业赖征伐，几番逐鹿，千秋论功过,左手托泰山，右手抱婴儿，百步穿杨，一箭定死生
此山在猛虎穴中，谁个敢加斧凿,老僧乃神龙嫡嗣，领头呼遣人天
情牵九曲，遗爱甘棠，崤函沃野联花放,礼赞十年，弘扬国粹，盛世凯歌春梦圆
晴霜染鬓山叠彩,老树盘根事和谐
士大夫盈门受学,州太守德化扬名
执政行仁，扶危济困施良策,严刑峻法，灭鼠擒贪堵外逃
绿水青山黄土地,白云碧野赤县天
日中怎度？本我心神迷四色,天下堪叹，尽君血汗奉三公
仁风与德风并播，繁荣经济,惠政随廉政同施，构建和谐
山颓木坏,风惨云凄
翠竹,黄花
留满袖烟霞，势上千寻瞻虎踞,览一阁气象，声驰五岭待龙吟
至侠腰无剑,鸿儒腹有书
美景街头闻逸韵,春风座上品蒸香
三女被姦，二女从长女,五人支傘，一人盖四人
铺开达浒千重锦,唱响浏阳一曲歌
锤镰开盛世,雨露沁芳春
摸石过河非胆小,看风使舵不心慌
故里风情归去好,人生哀乐老来真
富士不知寒士苦,家花未及野花香
春锄旧土翻新绿,燕带东风访谢家
夜月浮云迷茫，还似人生一梦,春风荡柳缠绕，恰如华岁几愁
春风吹皱池塘水,冬雪熨平山坡丘
德必有邻，六合同春春不老,润之以泽，万民俱乐乐无穷
月入小窗照素影,花移斗室散怡香
老鬼今日出句，句句皆国语,新媳昨天入门，门门贴楹联
虎步踏祥，威风九域山河振,兔毫渲彩，喜气三春日月辉
玉振金声思古乐,河传水调谱名歌
花残枉恨春工浅,音渺可怜青鸟无
存一份真情，痴心唯存图书馆,留几多雅趣，驻足当留知识宫
超脱六道守三昧,摈弃五浊归大乘
卿云辉柳染,春色粲梅魁
识天冷暖，察我心情起伏,测热高低，凭斯液汞缩伸
孙文葬身中山陵，人杰地灵,子规啼血杜鹃上，鸟语花香
昨日悲欢忘了去,如今风雨淡然听
笔有余香常诱我,心无旁鹜且攻书
听一念沙门，欲证因果期和顺,观十方信众，初临境界自清心
吟边自负风流，记当时长编笔砚,上坐平章花月，深院落初馥炉熏
精耕三万顷，特产热销，以蟹立都天下独,大庆六旬年，佳名迭播，因湖设县世间稀
五谷丰登华夏史,九州细读小平文
一棹春风桃入韵,无边秋月桂飘香
接天林海无穷碧,映日花环别样红
万树花都迎日笑,数家屋自抱云居
万波环护,百鸟来朝
蝉噪蛙鸣，苑外传来鼓声笛韵,兽蹄鸟迹，雪中印个竹叶梅花
风推浪取冠,山举树为峰
龙马精神追国梦,竹梅品格振家风
莓约春风，黄墩写梦,蓝筹骏业，独秀飞歌
酌理为经，摘词为纬,景堂有笏，凿楹有书
峻宇春光丽,高堂月倍明
门书喜字乾坤大,户进新人岁月甜
回眸十载拼搏路，戴月披星，终铸就光明事业,放眼百年规划图，标新立异，更激发火热情怀
寒秋别绪中，几度长空闻雁语,小月书窗外，一宵清露沁花帘
好似文君还对酒,偶逢秦女学吹箫
小月沉湖秋意冷,春风拂面艳阳天
虎气频催翻旧景,春风浩荡著新篇
白天放歌东逝去,夜晚映月复西归
岁月无声惊白发,人生得味笑红尘
犬无点墨狂称大,夫缺俩钱羞做人
煤海喜报报春早,矿山凯歌歌日新
中国赞扬，物阜年丰臻胜境,西欧欣佩，联工画美启新猷
抱怨良宵流烛泪,吹嘘好早打鸡鸣
燕来巢暖日,肉注水寒心
吕氏流长源远，昔日兴邦创业，功高垂万世,永康人杰地灵，今朝裕后光前，德厚惠千秋
兴亡事皆循天道，水载舟，水亦覆舟，何故恶名归弱女,往来人谁诉衷肠，情误我，情曾伤我，于今清泪满西湖
几度沧桑，伤痍成锦绣，春秋史记关山月,千年积淀，形胜著峥嵘，诗礼汉书林海峰
观潮待子夜,秉烛读春秋
持其志勿暴其气,敏于事而慎于言
挥毫能扫千军阵,纵酒同消万古愁
万户齐圆中国梦,一心共建大同家
备注多余知我意,灵犀一点谢冰心
不醉红尘辜负酒,为吟诗句觅寻春
梦句好也若醉,痴联甘之如饴
位居三离照下土,德配七政灿中天
美酒英雄，胡姬汉子吟桑落,长亭短笛，红袖青衫醉柳思
江上芦花点白头，问谁南北,路边麻叶伸青手，讨甚东西
睡熟素书横竹架,吟余犀管搁铜螭
易水寒流吟壮士,蓝关雪路滞文公
谅桃源无此风光，相谐山水人文，胜是天工留杰作,唯福地如斯气象，久历明清烟雨，敢凭底蕴证名村
价值观念，自高科转变,人类文明，从远想伸延
业绍蔡侯，教一纸播春，花开百样,功归科达，为千行助力，梦舞九州
雄姿镇百里山川，唐宋以来，半壁西南凭管领,胜迹仰千年庙宇，明清而继，双峰秀丽独峥嵘
春满新居，燕莺共贺乔迁喜,歌飞洋浦，邻里同欢幸福家
莺歌燕舞争新岁,虎跃龙腾闹早春
巳呼迎盛世,亥算得高年
廿四字箴言，教人民重德、社会暖怀、国家振志,万千程阔步，催发展燃情、腾飞追梦、崛起扬眉
今晚乐观红月亮,明朝再过玉门关
文章须尽平常意,曲乐当吟慈善心
红叶密林，似画如诗撩客醉,急流溪水，怀柔上善拨琴欢
隔岸花香勾酒瘾,三更月色上楼头
枫落金铺地,雪飘玉撒天
笔蘸清风，立党奉公描画境,心怀正气，为民造福写新篇
岸花斜探水中影,洲鹭轻啄船上帆
东风一过枝头软,长路无涯斑马鸣
天马扬威，九州焕彩,神羊接力，八桂飞歌
五十年革故鼎新，改版增刊，高昂喉舌歌西部,廿一纪开来继往，腾蛟起凤，遍播珠玑耀古城
人民小事如天大,党政宏观比日红
春风再度推门入,明月一轮伴我眠
狂风暴雨折柳断,蔼雾祥云盖梅红
自我无心争巷陌,凭谁一泪落苍然
取长补短,舍己为人
策马加鞭，追寻华夏人生梦,抟鹏搏宇，打造核心价值观
若教明月休生桂,莫向深云独闭门
不系舟楫随浪荡,无根水草赶潮流
年年岁岁花相似,密密亲亲人不同
梦醉湘魂，廿四字传递正能量,情温国脉，万千人激活新引擎
奋笔写丹心，屡建功勋光史册,擎旗倾热血，长留典范壮联坛
前路应无归路阔,中峰本比顶峰低
锦缆栖烟竹,牙樯带月钟
化解,消溶
从六堡而来，怀槟榔香味，蝶绕春芽诗涌动,向五洲驶去，靠古道茶船，茗传友谊韵飞扬
年关不锁春消息,心钥易开爱信封
三春揽胜，十景陶情，万壑云霞燃翠谷,九陌飘香，千畴涌浪，一川花雨涨热潮
沉缅江湖，常纵目缥渺山岚，明胧夜月,行吟胜迹，更放怀参差台榭，舒卷烟霞
才疏须恶补,志远要高飞
画舫青莲亭左右,白云明月水中央
春可寻，云堪赠，凭实践甄别极品，灵芽好向陶黄荐,醉能醒，浊令清，以科研彰显神功，瑞草宜招苏范来
君建国家归一统,子行道德效无为
心舟一叶渡台海,红豆千秋定相思
一颗雄心，敢打敢拼，共创新城千秋业,两只巧手，稳抓稳干，同描家园万代春
青天赐我疏狂笔,沧海酬人豪放词
妇女今天全解放,男儿每日不轻松
弘扬核心价值观，铸精魂政通人和,实现特色中兴梦，创辉煌国富民强
继宗功、扬祖德，裔孙荣达,行善举、献仁心，世界昌明
神州早太平，已然再造河山，不见干戈频舞动,大地多荆棘，何日重来尧舜？长望风俗返清淳
收入增加钱袋鼓,开支减少笑声甜
诵其诗、读其书，是以论其世,学不厌、教不倦，圣则吾不能
答殿下，还须几多合你意,问佳人，到底是否知君心
杜公弗效,用成罔昧
赟合良辰，队友知心，执锐披坚成劲旅,海开胜景，羽球顺手，攻城拔寨上高峰
尚停吟理，经著五千吟老子,暂缓话唐，诗传九百话青莲
欲揽中天明月,喜尝吉地甘泉
历阳春色天门壮,华夏铭文陋室魁
结清净缘，开门好诵千声佛,无儿女累，此地应多百岁人
溪前竹簸筛弯月,山顶云阶近太虚
酒是柳林香，醉倒春花秋月，鳌头独占三千载,梦从西府筑，乘来海雨天风，凤翼双飞八万程
盛会催春，折几枝翠柳，将玉骢系上,鹿城逢喜，搭一道彩门，把金福迎来
一序证前游，太白光芒神久在,三章怀绝调，牡丹时节我刚来
向佛何须落发,为人定要交心
狻猊镇海一声吼,狴犴临衙百弊察
有女兰黛，非懒，不怠，其臭如兰，其色为黛,斯兄竹斑，知足，少班，虚节是竹，虚皮类斑
司歌响亮提士气,业绩辉煌聚人心
马蹄带韵，清风扑面,羊背驮春，化雨润心
顺水渔歌流大海,穿云玉笛绕青山
总算多些凉爽意,只因少了发烧情
和谐延庆九天碧,盛世中华万代红
苜蓿,芸蕾
神话,寓言
相逢至今犹可忆,旧游何处不堪愁
园中阵阵催花雨,心头缕缕思乡情
客途依旧边城北,侯雁只今故国南
身世飘零雨,心思辗转萍
典字换衣诗暗泣,卖身上位戏才开
为换温馨一世,抛开日月千秋
闲来小憩观白鹭,静坐无言傍角梅
铜琶铁笛袅清风，入徵流商，应有蛟涛翻渤海,红袖翠钗舞皓月，鉴今证古，漫云蜃气现楼台
龙门呈异彩，龙气贯长空，龙图大展春潮涌,旗手显英姿，旗山连重镇，旗帜高扬捷报传
大华习以为常态,小鬼安能出怪招
国待求琳器,春深执政家
红彤一树成诗好,芳蕊三枝入画娇
风执长毫，由淡渐浓调彩墨,春回大地，从南到北赏桃花
烛影摇红添喜色,渔歌唱晚逐春风
大庆黄金周，淘了黄金，其余尽罄,光荣劳动者，献完劳动，以后难堪
两颗丹心呈俊秀,百岁结发度春秋
几乘天际风，云影无踪辞玉阙,独步江边月，波光万顷入青冥
天兔猛于虎,粮卯食在寅
横江排众议,奋武定三分
搜神得句题红叶,转角含商破碧云
山上白云堪作纸,空中大雁好行文
痛饮三瓢南海水,狂书万里艳阳天
恰临春日，品一卷诗书，闲吟尽享色香味,如晤良朋，拥五车经典，坐对胜邀松竹梅
明月三分我二分，消得五分景致,梧桐后夜僧前夜，化为一夜秋声
满目秋光山骨瘦,一襟风月酒肠宽
笔引梅花香冷韵,茶烹桂子味清神
但因耿介难息事,果有清操岂喻人
夜静弄舟惊月色,天明吃酒喜云辉
悠韵长鸣期一统,和风漫卷庆升平
时雨滋红桃脸面,春风吹绿柳枝丫
谁立池边垂柳钓,我临草地放风筝
潦倒蓝衫破,衰颓白发添
醉里长痴无碍酒,山中小住不知春
吃苦是良图，作苦事、用苦心、费苦劲，苦境终成乐境,偷闲非善策，说闲话、好闲游、做闲汉，闲人就像废人
留友，评茶斗酒一宵乐,聚情，谈古论今万代传
长空寄语，电脑为媒，好事成全花月下,宽带传情，银河有约，新婚燕尔蜜糖中
仇富,欺贫
衔河吞湖，四时湿地，江南秀色大铁岭,接沈连京，八方物流，塞北佳境新水城
摇麈尾,卷虾须
淮济江河归大海,诗联书画展生平
满地月如霜，秋似酒，天涯人思念,一江水东流，几多愁，相顾影自怜
范进中举,海瑞罢官
抚湘十载，督蜀七年，大厦欲倾时，花都曾出经纶手,明月一堂，清风四壁，高祠重建日，光禄长辉遐迩天
夙夜在公，计民生、诉民求、请民愿,乐忧关己，参政事、明政见、通政情
茉莉芳香邀月色,鸳鸯亲密诱星光
东鲁起蛟龙，踏大河长浪，乘势顺风游四海,雄心兴骏业，看诸品一流，优能低碳利群邦
九域迎旭日,八方庆新春
涵虚心不浅,待月底长圆
乃祖八恺裕后,容成一历居先
岭上千枫红万里,溪边五柳翠东坡
一川水墨荷装点,遍纸烟霞我绘描
心有阳光能辨道,眼无阴霾不同尘
风舞雪花吟散句,雨滋春笋写新篇
旧曲重弹琴涩指,相思一起酒封喉
悦目每当观旭日,开心最是读华章
文采风流惊四海,教乘暗化暖三春
思议莫能及,光明无有边
新屋落成，春光常驻,画栋连云，燕子重来
卷帘放入一山绿,折杏收来两袖香
炒豆捻开，抛下一双金龟甲,甜瓜切破，分成两片玉玻璃
大是小，小是大，小中见大,空为虚，虚为空，虚里藏空
南浦飞云，西山积翠，百里洪城多秀美,滕王揽胜，孺子思贤，万年大岭尽英雄
心有灵犀，身非彩凤,月明沧海，雨阻巴山
花心梦醒风光媚,草脚愁回景色妍
王婆装嫩兜头彩,少女怀春满脸红
遗物宗宗，皆铭壮志豪情举,丰碑座座，尽刻惊天动地诗
石古风留篆,湖清月赏光
历史长河流岁月,春秋大梦似云烟
勤勉治邦谋善政,轩昂登殿续明时
温故知新识道理,借花献佛悟禅机
嗅一苑芬芳，醉一池涟漪，飨一域风景，圆一城彩梦,邀几名老友，斟几盏清香，吟几首小诗，品几段人生
勤劳门第春常在,节俭人家乐有余
坦腹纳震泽,亡怀偃惠山
世事若鸣锣，只为钱多开口响,人情如击鼓，每因皮厚发声高
秋在梧桐枝上落,梦犹鹦鹉粒中香
三径月明花弄影,十峰林翠锦生波
书味本长宜思索,砚田可种勿抛荒
不意重逢，方觉前尘似梦,无言对坐，原来此味如茶
净婉枝柔，斗艳垂丝娇蕙媚,香花骨傲，争芳结蕾雅轻新
经纶满腹佞臣妒,忧郁长沙湘水怜
八桂腾飞歌党德,九州崛起颂春晖
拂袖推杯非酒力,临风把盏畅诗心
文脉溯嬴秦，千古咸阳千古韵,园林荣本纪，一亭风雅一亭诗
故事宽披览,良言广拾遗
书尽风华收倦笔,吟穷月色共轻弦
嚼几块菜根，便知禅味，拜佛欣来无欲地,邀八方信众，齐参妙理，入门即是有缘人
黄昏黄狗吠黄鹤,紫恋紫貂登紫杉
三问中国男足有多愁,恰似阳痿患者逛青楼
注经世业,捧檄家声
贞殊桃李开还落,节劲松梅老更坚
山峰缺处云来补,财政增时地要征
古观重光，溯本清源，弘扬正气河山净,孤峰揽胜，雕梁画栋，再展雄姿景象奇
丹崖灵石髓,碧涧有芝英
有月江中轻荡漾,失神脑际总翻腾
让几分，何曾小我,退一步，自有高天
奥巴马,藏羚羊
出吉州以迁敖邑，落地生根，龙姓千年延血脉,怀忠孝而秉德仁，开花结果，虬枝六面散馨香
小憩自然凉，心怡处处皆福地,闲步梧叶秋，月寒每每照孤身
铁剑新硎邀击水,卢弓旧赐欲征胡
不如说行，是名欺佛,真发愿去，自可利他
北江毓秀，禺峡钟灵，是谁染绿皴红，绘就千屏生态画,溶洞探奇，峰林览胜，惹我铺词掞藻，吟成百卷散文诗
落红飞叶，春秋遗墨,鹤唳风声，草木皆兵
浓尤增色，淡不减香，一杯品悟人生味,冬可祛寒，夏能去暑，数片神超药石功
庐前孔雀张屏，客忘逋鹤,亭下池鱼结队，谁识濠鯈
闲情拾得心如意,雅趣换来步随风
秋蟀春鹒思蜡屐,酒龙诗虎争传觞
几近清幽闲典字,临乎虚脱乱补亏
盘石生乌柏,当门种白榆
猴翻筋斗凌云志,鹏起梨关折桂风
月分蛾黛破,云逐凤箫飞
上下几千年，翰海精华，尽藏书内,纵横数万里，神州春色，咸集门中
松柏蔼长春，画图集庆,蓬莱依胜境，杰构灵光
春雨蒙蒙，雨化烟姿笼柳岸,晓风淡淡，风开雾幕见花坛
掬一捧清泉，洗心净虑,祈三阳泰运，盛世开元
寄语北山，不闻出世成高隐,垂纶东海，非是逢人说好休
金鸡报晓,神犬驱邪
龙舟水起，看江头燕子低徊，轻歌妙曼,芒种人归，喜凤里桐花新著，远溢清香
地铁送春风，帝都广聚正能量,福车追远梦，小寨又添新引擎
靖波镇海，愿持三尺剑,怀古咏今，更上一城楼
问秋叶落归何处,感我萍浮酌异乡
中秋依旧东坡月,近日迎新上岳阳
花飞月下，魂兮怅怅,鸟韵窗前，想也非非
卿霭焕朱门，石奋郎君皆贵仕,仙风飘绛节，刘纲夫妇并归真
繁花万点，十分绿意千家赏,好酒一杯，数缕春风二月迎
一诺千年潮有信,无求半世酒称心
平安二字千金重,幸福一生每日欢
野风摇韵，空谷弥香，残阳还照天涯客,枫叶题诗，山花含笑，飞瀑常牵雅士魂
麟凤呈祥福满地,蛟龙出海紫嫣屏
三羊开泰，清明执政政风朗,五福临门，依法治国国运昌
还我潭城一方净土,送君莲蕊万缕清香
楼台烟雨丹青画,涧谷溪流长短歌
无声春雨滋诗种,有色屏风美画廊
期颐高寿桥头走,仙风灵气水中游
掏钱累，饮酒愁，自己伤心云往事,落叶飞，思乡动，蓦然回首撞秋风
红叶偏飞秋有信,窗花暗结霜无声
云锁太行，无限岚光开顺境,龙腾天下，万千气象沐和风
青花瓷载千秋韵,香雪海凭一剪梅
怒马腾空当逐日,春牛下地自耕云
对联看片题诗，痴迷三件事,上网聊天扯淡，神侃五洲人
醉卧云床峰作枕,闲游江渚月随行
新诗迎谷口,好事出人间
由是路入是门，奇树穿云，诗外蓬瀛来眼底,登斯楼说斯景，怒江劈峡，画中天地壮人间
春晚迎春春不晚,寿长祝寿寿绵长
普散天花荣法座,正因佛性导黎民
海生明月千山净,慈护群伦万福来
窗外野花香醉梦,家中老母好牵心
提笔难书笺上恨,挥剑未断风中情
空虚色象原来梦,惨淡花容又是秋
葛帔受恩多，记琴樽宾榻，风雪扁舟，旧事上心，一恸淞波都化泪,绵袍挥手去，叹京洛才名，江关词赋，浮生若梦，再来沧海已成尘
情飞九鼎千帧画,梦醉三滩一碗花
孝字入公门，清官难断,人伦成节日，游子必还
生财聚财，一点一滴连社稷,养税用税，半丝半缕系民情
菱女笙歌，韵动莲裾舒水袖,渔翁垂钓，画成烟柳拂云图
散千斛金银，知谁筑坝,来八方宾客，有我作东
缀绿铺红世界,崇廉尚美田园
红梅白雪迎元旦,宝马香车返故乡
辟一方热土筑居，问杜甫诗中，可曾再叹,奉几碟凉盘尽兴，看辋川席上，正在同欢
朵朵莲花观自在,声声梵唱颂如来
晴川历历汉阳树,茂草萋萋鹦鹉洲
丁香结子添惆怅,铁树开花显富饶
移榻就明月,携琴寄幽泉
曹子建文常敏疾,李商隐意本光明
竹溪思故友,柳岸问新莺
城在百花竞秀中，谁为绿叶,税成万户靠山后，我释巨能
雪花罩野疑无地,水镜涵空别有天
窗外有景山泼墨,案前无人月弄弦
梅咏天窗高格调,李飞龙步好声腔
三千往事弦间落,五百回眸笔上飞
清梦断柳营风月,菲仪表梓里葭莩
春暖风筝舞,月明蛙鼓喧
口舌之争牵累耳,色情糜烂损伤神
世情闲尽见,诗思涩难栽
依桥静看鱼吹水,折柳醉闻春上枝
四水抱谁一寂寞,孤峰与我两峥嵘
启瑶坛而迓福，共瞻吉兆,开胜会以投诚，同祝太平
春去春来，年年花信如约至,云舒云卷，岁岁杏坛献瑞临
平凡日子从容过,唏嘘人生淡定忘
春风到处赢生意,紫燕取材学作家
联客登坛无彼此,诗人出道见风华
柳翠桃红春画卷,山青水碧月情怀
能让繁声任真籁,曾游仙迹见丰碑
傲骨天成，梅花烙,慈心佛渡，贝叶书
一夜月摇红树影,三更人梦粉荷姿
闲人思大事,凑对逊神游
晓径来樵，伐薪惊醒苍山梦,秋原出猎，伏虎招得翠谷鸣
身驻岭南，百越长怀盛德,魂归北地，三秦永忆斯人
有松涛积翠，石罅生风，敢上去方知妙处,看梵杵敲钟，莲花礼佛，能参开即是高僧
手里乾坤转,心中日月悬
圣代也知无弃物,宝钗长欲坠香肩
秉吾正义，侃侃不挠，大丈夫岂苟全性命,如此横流，滔滔皆是，天下事将付与谁何
唇枪舌战是非清，窗前射出霞光万道驱迷雾,舵转航明方向正，楼顶升腾红日一轮照锦程
殚智竭力促和谐，为民谋福祉,攻坚克难求发展，以德造春秋
